composer_id,name,tradition,song_count,quality_score
Lakshmi Bhai Thamburatti,Lakshmi Bhai Thamburatti,,0,1.0
Bharat Sundar,Bharat Sundar,,0,1.0
Yadla Ramadasa,Yadla Ramadasa,,0,1.0
R. K. Padmanabha,R. K. Padmanabha,,0,1.0
Manaveda Kavi,Manaveda Kavi,,0,1.0
Prathivadhi Bhayankaram Anna,Prathivadhi Bhayankaram Anna,,0,1.0
Peyazhwar,Peyazhwar,,0,1.0
Vijayagopalaswami,Vijayagopalaswami,,0,1.0
Govindacharya,Govindacharya,,0,1.0
Yogi Narayana,Yogi Narayana,,0,1.0
Kirikattu Gopala Pillai,Kirikattu Gopala Pillai,,0,1.0
Kannan Iyengar,Kannan Iyengar,,0,1.0
Tenmadam Narasimachari,Tenmadam Narasimachari,,0,1.0
Thimmappa,Thimmappa,,0,1.0
Amrutha Venkatesh,Amrutha Venkatesh,,0,1.0
Kshetragna,Kshetragna,,0,1.0
Abhirami Battar,Abhirami Battar,,0,1.0
V. Raghavan,V. Raghavan,,0,1.0
Alathur Vijayakumar,Alathur Vijayakumar,,0,1.0
Tiruppanandal Pattabhiramayya,Tiruppanandal Pattabhiramayya,,0,1.0
Jayadeva,Jayadeva,,0,1.0
Madurai N. Srinivasan,Madurai N. Srinivasan,,0,1.0
Shatkala Narasaiah,Shatkala Narasaiah,,0,1.0
Narayana Theertha,Narayana Theertha,,0,1.0
Shyama Shastri,Shyama Shastri,,0,1.0
Karur Devudu Iyer,Karur Devudu Iyer,,0,1.0
Lalgudi Jayaraman,Lalgudi Jayaraman,,0,1.0
Anai Vaidyanatha Iyer,Anai Vaidyanatha Iyer,,0,1.0
Narayana Guru,Narayana Guru,,0,1.0
Narshin Mehta,Narshin Mehta,,0,1.0
M. Dandapani Desikar,M. Dandapani Desikar,,0,1.0
T. N. Seshagopalan,T. N. Seshagopalan,,0,1.0
Thirumangai Azhwar,Thirumangai Azhwar,,0,1.0
T. S. Balakrishna Sastrigal,T. S. Balakrishna Sastrigal,,0,1.0
Vinjamuri Varadaraja Iyengar,Vinjamuri Varadaraja Iyengar,,0,1.0
Swami Brahmananda,Swami Brahmananda,,0,1.0
Thirugnanasambandar,Thirugnanasambandar,,0,1.0
Mysore Karigiri Rao,Mysore Karigiri Rao,,0,1.0
Andal,Andal,,0,1.0
Manikavachagar,Manikavachagar,,0,1.0
Thiruppayanam Pancapakesha Shastri,Thiruppayanam Pancapakesha Shastri,,0,1.0
Bangalore T. Shrinivas,Bangalore T. Shrinivas,,0,1.0
Chembai Narayana Bagavathar,Chembai Narayana Bagavathar,,0,1.0
R. K. Shriramkumar,R. K. Shriramkumar,,0,1.0
N. Sashikiran,N. Sashikiran,,0,1.0
Yoga Narasimhan,Yoga Narasimhan,,0,1.0
K Ponniah Pillai,K Ponniah Pillai,,0,1.0
Kaduveli Siddhar,Kaduveli Siddhar,,0,1.0
Nerur Shrinivasachar,Nerur Shrinivasachar,,0,1.0
Poondanam,Poondanam,,0,1.0
Veena Subbanna,Veena Subbanna,,0,1.0
Meenakshi Sundaram Pillai,Meenakshi Sundaram Pillai,,0,1.0
Raghavendra Swaami,Raghavendra Swaami,,0,1.0
D. V. Gundappa,D. V. Gundappa,,0,1.0
R. Visweswaran,R. Visweswaran,,0,1.0
Vaidheeswaran Kovil Subbarama Iyer,Vaidheeswaran Kovil Subbarama Iyer,,0,1.0
Pallavi Gopalaiyer,Pallavi Gopalaiyer,,0,1.0
Kavikunchara Bharathi,Kavikunchara Bharathi,,0,1.0
Appar,Appar,,0,1.0
Jedara Dasimayya,Jedara Dasimayya,,0,1.0
Ganapathi Sachchidananda,Ganapathi Sachchidananda,,0,1.0
Maha Vaidyanatha Sivan,Maha Vaidyanatha Sivan,,0,1.0
Atma K. Venkataraman,Atma K. Venkataraman,,0,1.0
A. Kanyakumari,A. Kanyakumari,,0,1.0
Shimoga Shrikantiah,Shimoga Shrikantiah,,0,1.0
Madhavan Kizhakkoot,Madhavan Kizhakkoot,,0,1.0
Calcutta K. S. Krishnamurti,Calcutta K. S. Krishnamurti,,0,1.0
G. Shankara Kurup,G. Shankara Kurup,,0,1.0
K. Arun Prakash,K. Arun Prakash,,0,1.0
Vadhiraja Theertha,Vadhiraja Theertha,,0,1.0
Kalyani Krishnaswamy,Kalyani Krishnaswamy,,0,1.0
Papavinasa Mudaliar,Papavinasa Mudaliar,,0,1.0
Aruna Sairam,Aruna Sairam,,0,1.0
Chinni Krishnadasa,Chinni Krishnadasa,,0,1.0
Mavelikara Subramaniam,Mavelikara Subramaniam,,0,1.0
Vyasaraya Thirtha,Vyasaraya Thirtha,,0,1.0
N. S. Ramachandran,N. S. Ramachandran,,0,1.0
Dhandayudapani Pillai,Dhandayudapani Pillai,,0,1.0
Sivanandam,Sivanandam,,0,1.0
Misu Krishna Iyer,Misu Krishna Iyer,,0,1.0
Shripadaraya,Shripadaraya,,0,1.0
BV Raman BV Lakshmanan,BV Raman BV Lakshmanan,,0,1.0
Annamalai Reddiar,Annamalai Reddiar,,0,1.0
Bhanu Dasa,Bhanu Dasa,,0,1.0
Neela Ramamurthy,Neela Ramamurthy,,0,1.0
Perumal Murugan,Perumal Murugan,,0,1.0
Sivanamayogi,Sivanamayogi,,0,1.0
