name,song_count,total_views,tradition,file_path
Debanjan Bhattacharya,391,343455,Hindustani,Hindustani/artist/Debanjan Bhattacharya.json
Kankana Banerjee,277,291490,Hindustani,Hindustani/artist/Kankana Banerjee.json
Pravin Godkhindi,1101,41777499,Hindustani,Hindustani/artist/Pravin Godkhindi.json
Krishnendra Wadikar,104,298292,Hindustani,Hindustani/artist/Krishnendra Wadikar.json
Abhik Mukherjee,127,150806,Hindustani,Hindustani/artist/Abhik Mukherjee.json
Sukhada Kane,48,20320,Hindustani,Hindustani/artist/Sukhada Kane.json
Kashinath Bodas,88,98112,Hindustani,Hindustani/artist/Kashinath Bodas.json
Rajab Ali Khan,191,1342653,Hindustani,Hindustani/artist/Rajab Ali Khan.json
Raghunath Seth,299,471060,Hindustani,Hindustani/artist/Raghunath Seth.json
Vikas Kashalkar,167,168497,Hindustani,Hindustani/artist/Vikas Kashalkar.json
Vijaykumar Patil,316,1955071,Hindustani,Hindustani/artist/Vijaykumar Patil.json
Ramprapanna Bhattacharya,832,338978,Hindustani,Hindustani/artist/Ramprapanna Bhattacharya.json
Priya Purushothaman,64,228867,Hindustani,Hindustani/artist/Priya Purushothaman.json
Ronu Majumdar,1035,6442260,Hindustani,Hindustani/artist/Ronu Majumdar.json
Ghulam Hussain Khan,26,14982,Hindustani,Hindustani/artist/Ghulam Hussain Khan.json
Rais Khan,954,3205792,Hindustani,Hindustani/artist/Rais Khan.json
Nityanand Haldipur,150,145849,Hindustani,Hindustani/artist/Nityanand Haldipur.json
Hariprasad Chaurasia,2508,60226160,Hindustani,Hindustani/artist/Hariprasad Chaurasia.json
Vishmadev Chattopadhyay,93,240317,Hindustani,Hindustani/artist/Vishmadev Chattopadhyay.json
Sameep Kulkarni,978,275479,Hindustani,Hindustani/artist/Sameep Kulkarni.json
Kushal Das,378,1169722,Hindustani,Hindustani/artist/Kushal Das.json
Sadhana Shiledar,77,41117,Hindustani,Hindustani/artist/Sadhana Shiledar.json
Archana Kanhere,161,384275,Hindustani,Hindustani/artist/Archana Kanhere.json
Rahimuddin Dagar,58,54536,Hindustani,Hindustani/artist/Rahimuddin Dagar.json
Girija Devi,1004,5211110,Hindustani,Hindustani/artist/Girija Devi.json
Sarfaraz Hussain Khan,51,24953,Hindustani,Hindustani/artist/Sarfaraz Hussain Khan.json
Aloke Dutta,4,24600,Hindustani,Hindustani/artist/Aloke Dutta.json
Hemang Mehta,57,30712,Hindustani,Hindustani/artist/Hemang Mehta.json
Uday Bhawalkar,611,1598209,Hindustani,Hindustani/artist/Uday Bhawalkar.json
Kishan Maharaj,392,5558103,Hindustani,Hindustani/artist/Kishan Maharaj.json
Rajendra Prasanna,537,3718862,Hindustani,Hindustani/artist/Rajendra Prasanna.json
Pandit Jasraj,2644,63749084,Hindustani,Hindustani/artist/Pandit Jasraj.json
Manjusha Kulkarni Patil,639,3421949,Hindustani,Hindustani/artist/Manjusha Kulkarni Patil.json
Ghulam Akbar Khan,8,27363,Hindustani,Hindustani/artist/Ghulam Akbar Khan.json
Shubha Mudgal,597,8084297,Hindustani,Hindustani/artist/Shubha Mudgal.json
Aditya Khandwe,130,101856,Hindustani,Hindustani/artist/Aditya Khandwe.json
Vijay Ghate,99,282598,Hindustani,Hindustani/artist/Vijay Ghate.json
Nissar Hussain Khan,432,259903,Hindustani,Hindustani/artist/Nissar Hussain Khan.json
Sharafat Hussain Khan,404,294372,Hindustani,Hindustani/artist/Sharafat Hussain Khan.json
Rahul Deshpande,966,71750519,Hindustani,Hindustani/artist/Rahul Deshpande.json
Apratim Majumdar,81,84173,Hindustani,Hindustani/artist/Apratim Majumdar.json
Ayaan Ali Khan,309,2841291,Hindustani,Hindustani/artist/Ayaan Ali Khan.json
Sangameshwar Gurav,23,18243,Hindustani,Hindustani/artist/Sangameshwar Gurav.json
Barun Kumar Pal,103,43918,Hindustani,Hindustani/artist/Barun Kumar Pal.json
